"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logPVal","Abs_log2foldchange","Significant","chromosome_name","start_position","end_position","strand","gene_biotype","external_gene_name","description"
"ENSMUSG00000078901",68.0499241984134,22.9868998884014,3.67887182086237,6.24835574809807,4.14796062364525e-10,6.79264381777533e-09,8.1679611576793,22.9868998884014,"Both","2",175116918,175128598,1,"protein_coding","Gm14440","predicted gene 14440 [Source:MGI Symbol;Acc:MGI:3702430]"
"ENSMUSG00000089698",10.1695285207641,-19.9878184159926,3.68265564531896,-5.42755563947425,5.71310600788207e-08,6.92629458248161e-07,6.15949904139967,19.9878184159926,"Both","16",85350121,85350831,-1,"processed_pseudogene","Gm2541","predicted pseudogene 2541 [Source:MGI Symbol;Acc:MGI:3780709]"
"ENSMUSG00000107383",272.245791106078,7.61473519130316,1.65741352635766,4.59434840503405,4.34103571484349e-06,3.8416980001033e-05,4.41547677847582,7.61473519130316,"Both","7",116423745,116425086,-1,"processed_pseudogene","Gm4366","predicted gene 4366 [Source:MGI Symbol;Acc:MGI:3782551]"
"ENSMUSG00000052825",23.3575901647955,7.50682189139009,1.38204892393189,5.43166147116802,5.58317635247447e-08,6.7814655771243e-07,6.16867643839324,7.50682189139009,"Both","8",52649100,52650091,-1,"processed_pseudogene","Gm9892","predicted gene 9892 [Source:MGI Symbol;Acc:MGI:3701610]"
"ENSMUSG00000048087",90.7601124532828,7.34406433713092,1.56052200038883,4.70615879513458,2.52427919623901e-06,2.33381740721736e-05,4.63193312521436,7.34406433713092,"Both","16",45973348,45975440,-1,"protein_coding","Ahcyl","adenosylhomocysteinase like [Source:MGI Symbol;Acc:MGI:3643647]"
"ENSMUSG00000103651",10.8649777643503,7.25356972495348,1.17556853037267,6.17026531209885,6.8175498167179e-10,1.09047130154811e-08,7.96238575946932,7.25356972495348,"Both","19",4812131,4815199,-1,"TEC","Gm37206","predicted gene, 37206 [Source:MGI Symbol;Acc:MGI:5610434]"
"ENSMUSG00000101939",112.379298859047,6.82168708102804,2.13934082369613,3.18868644279046,0.00142920811787574,0.00704597426757918,2.15205894722755,6.82168708102804,"Both","1",24651856,24652200,-1,"unprocessed_pseudogene","Gm28438","predicted gene 28438 [Source:MGI Symbol;Acc:MGI:5579144]"
"ENSMUSG00000030854",10.1572236321188,-6.21742997883383,1.72524281126066,-3.60379996267927,0.000313598446331557,0.00184457391222987,2.73410393787255,6.21742997883383,"Both","7",46727543,46783432,-1,"protein_coding","Ptpn5","protein tyrosine phosphatase, non-receptor type 5 [Source:MGI Symbol;Acc:MGI:97807]"
"ENSMUSG00000089727",3.97561170137185,-6.17040870232043,1.34936311793116,-4.57283041186194,4.81179587170929e-06,4.21797207806939e-05,4.37489629950894,6.17040870232043,"Both","6",130092189,130106861,-1,"protein_coding","Klra8","killer cell lectin-like receptor, subfamily A, member 8 [Source:MGI Symbol;Acc:MGI:102968]"
"ENSMUSG00002074999",6.41024435026037,-6.0266090557573,1.67354564272044,-3.60110229557928,0.000316870860046848,0.00185921783506158,2.73066972317978,6.0266090557573,"Both","4",45396994,45397118,-1,"miRNA","Gm56273","predicted gene, 56273 [Source:MGI Symbol;Acc:MGI:6849004]"
